"","country_group","platform","nps1","nps2","segment_size","revenue_2019_before1_mean","revenue_month_before1_mean","revenue_week_before1_mean","revenue_during1_mean","revenue_week_after1_mean","revenue_month_before2_mean","revenue_week_before2_mean","revenue_during2_mean","revenue_week_after2_mean","lootboxspend_2019_before1_mean","lootboxspend_month_before1_mean","lootboxspend_week_before1_mean","lootboxspend_during1_mean","lootboxspend_week_after1_mean","lootboxspend_month_before2_mean","lootboxspend_week_before2_mean","lootboxspend_during2_mean","lootboxspend_week_after2_mean","playtime_2019_before1_mean","playtime_month_before1_mean","playtime_week_before1_mean","playtime_during1_mean","playtime_week_after1_mean","playtime_month_before2_mean","playtime_week_before2_mean","playtime_during2_mean","playtime_week_after2_mean","revenue_2019_before1_sd","revenue_month_before1_sd","revenue_week_before1_sd","revenue_during1_sd","revenue_week_after1_sd","revenue_month_before2_sd","revenue_week_before2_sd","revenue_during2_sd","revenue_week_after2_sd","lootboxspend_2019_before1_sd","lootboxspend_month_before1_sd","lootboxspend_week_before1_sd","lootboxspend_during1_sd","lootboxspend_week_after1_sd","lootboxspend_month_before2_sd","lootboxspend_week_before2_sd","lootboxspend_during2_sd","lootboxspend_week_after2_sd","playtime_2019_before1_sd","playtime_month_before1_sd","playtime_week_before1_sd","playtime_during1_sd","playtime_week_after1_sd","playtime_month_before2_sd","playtime_week_before2_sd","playtime_during2_sd","playtime_week_after2_sd"
"1","ROW","android","NaN","NaN",7060,3.94988380366819,2.18977025436361,0.377997386397292,0.0578661920475296,0.291476659076936,2.04613343649924,0.29465606306672,0.0635564306455393,0.516203105302165,2433.35509915014,1224.86359773371,232.106232294618,125.371104815864,322.366855524079,1256.20538243626,219.063031161473,35.8179886685552,229.74433427762,21803.9362606233,9847.56869688386,1962.95424929178,1595.41473087819,2581.62337110481,9057.93243626038,1356.10934844202,208.038810198291,1398.04844192639,44.715107159202,34.8190728735128,8.30228337989905,1.47607305560469,5.49481661811508,25.709812513718,5.43556674218701,1.43137929756353,10.1221137666027,9566.76158533292,6091.60160100735,1442.65680109537,487.621111861341,1353.58905733773,4417.41739324565,1142.47603222028,515.180207443866,1430.82843797421,89735.7062880086,41136.84245034,9009.79113626187,3854.49275146681,9680.14340871576,27248.2888988116,6302.07138679179,1551.48632570999,8645.96095880546
"2","ROW","android","NaN","detractor",3434,2.95486241578981,1.55205487995264,0.2329393944723,0.0459351899067512,0.266409563514184,38.1959429578605,16.8796271525116,7.4601344895367,23.4941968222953,2589.26062900408,1329.84886429819,247.818870122306,132.763541059988,343.69539895166,10326.0279557368,4734.83983692487,1271.36575422248,5069.65200931858,26020.8538147932,11757.6191030868,2457.61619103086,1697.14239953407,2926.1878276063,86063.4082702387,38508.2920792079,10843.7775189284,42395.1921956901,35.2668646261868,28.3963654288908,3.49608172254015,1.06595628089268,4.27787190462184,147.10356750073,78.9134291927947,28.3050368022649,90.5839540080808,9006.78468388688,5561.61456654659,978.30107160262,433.139277990201,1219.15305435171,20451.9458276254,10972.549144355,2864.17806030727,11644.3508361991,104174.419662163,47238.0081484972,10484.5225754605,3987.43387331715,10648.3523086154,84399.8365414404,38762.1140124961,11984.0044907429,43452.293057353
"3","ROW","android","NaN","passive",2350,5.3653450628274,1.89636884199774,0.164295597040921,0.0407308054852026,0.431993201074182,35.3204627984243,15.9028733131589,7.02965003280913,19.5977650881901,2666.06808510638,1261.09787234043,218.685106382979,133.153191489362,327.931914893617,9959.72553191489,4633.32340425532,1287.48510638298,4491.79574468085,23130.5059574468,10694.2944680851,2138.0059574468,1585.37021276596,2526.67319148936,87902.190212766,40195.46,11684.0021276596,43315.4114893617,94.9643786275144,31.1108521432111,4.32961298755557,0.874269505101456,11.3248575022646,168.113620129994,90.5575238242564,26.6108813243865,93.3225186997895,13889.6966978737,5190.52418575406,856.919606495301,504.546183999489,1827.34882400953,21345.035582991,11794.3714486602,3202.27424818206,11157.5693680399,96293.3617559889,44223.7848852213,9879.10289048486,3815.93552110073,10097.9256907686,81310.1679425015,38826.2872648543,12670.2230568167,42814.9614291858
"4","ROW","android","NaN","promoter",3090,4.34483748043914,1.86732316302355,0.154583159235819,0.0544426296116421,0.407939409064504,29.9973092649966,14.2634966446611,6.30797979189404,16.685867390941,2676.54498381877,1282.47702265372,237.46925566343,153.275080906149,344.637540453074,8796.89482200647,4063.28802588997,1289.60355987055,4077.04368932039,24554.4822006473,11177.6860841424,2252.08187702266,1670.31715210356,2678.24789644013,80347.467961165,35993.0673139159,10376.2818770227,39898.1006472492,70.1481904537965,46.0976521442715,4.27192211498516,1.77112113615108,6.166525373741,112.090880111813,61.8059064205312,29.4243255645356,81.2939133852697,11485.9368742391,6645.69685709248,966.273811700096,651.138767933225,1391.58636359045,15498.4377352686,8232.42756879841,3322.94116015066,10196.8916010121,94805.678375161,43861.3269527957,9556.48052184935,3872.53693635934,9975.43164388147,84502.8413692962,39535.1429749514,12151.8654846637,44387.8550026366
"5","ROW","android","NaN","severe detractor",1627,2.41441098115117,0.909262622560471,0.183797787118445,0.0412412209398047,0.132889246710798,43.2840843798198,17.1775648549877,7.66443516388588,24.755903855819,2252.55685310387,1133.24523663184,257.676705593116,120.854333128457,301.290719114935,11328.8537185003,4866.28149969269,1292.9471419791,5133.19913952059,21279.9157959435,10041.007990166,2350.74861708665,1646.47572218808,2615.61524277813,106769.792870314,48334.4701905347,13767.7160417947,51199.2077443147,26.4594890247257,12.5455678722894,4.03697473941244,0.868486542793676,3.02733277544258,124.540647368189,64.6466056832124,28.5827615290837,85.7355029769032,7186.82371815939,3598.38757667916,1182.43770602377,398.876121364672,1085.85320223684,17713.2736899131,8872.4733649629,3499.52853031285,11105.744757539,75485.902104196,36695.4491794316,9333.07117056856,3725.81061932691,9363.38116373729,105065.312794745,49819.0686718,15499.8769009279,53719.3426693901
"6","ROW","android","detractor","NaN",6318,100.16057990826,51.3632914043963,11.7794744658867,2.57551253111459,9.46442018480306,25.6648879106595,0.515492904322875,0.12462792481636,0.879378190860046,33721.0845204179,16861.7904400127,3501.29787907566,1110.55238999683,3563.83823994935,9248.19721430833,256.716524216524,44.8971193415638,301.832067109845,377398.306267807,180342.351851852,40499.5481164925,13590.9015511238,35644.0414688193,93506.2238050013,1571.14941437159,237.182177904391,1490.01076289955,424.023327057012,239.426573279401,66.9933037787423,18.1089455899324,47.8866272052211,109.345405288045,7.71383970528655,2.7888761653438,19.7393850858753,58861.6528800207,32328.1861792281,8592.11711494443,2582.64625957545,6995.10586528862,15147.053343757,1415.37139464751,505.761225430087,2604.6505946877,351330.072139963,171224.629411231,42027.2337079627,14292.804583183,37806.7188119995,95986.1487779694,7826.4415050791,1754.70739092122,7842.75455672808
"7","ROW","android","detractor","detractor",3047,87.684958082515,46.9483805430398,9.8770166443714,2.181162796226,9.74857043341596,57.0831132619089,16.5306293958517,7.91486431663463,22.4643400856856,32134.1089596324,16305.3528060387,3305.81227436823,1069.47489333771,3507.879881851,17546.2340006564,4545.98293403348,1295.82704299311,4848.7397440105,373635.055464391,179856.502789629,40093.1076468658,13586.9245159173,35608.0843452576,171987.917952084,39992.1155234657,11426.1388250738,43027.5365933705,369.22290170067,196.075926599334,47.6923383484488,17.0625285394195,47.8449564303157,154.29177123101,80.7136769999539,30.8033121485726,88.4541237335189,54904.5024896757,28774.8000275642,6692.60638011089,2073.36094160324,6756.50448755567,21358.6112238386,9986.91605938751,3293.77380599317,10881.207101139,349394.064369266,170571.212807008,42349.1593533398,14195.9406716983,37289.3445928977,127986.291341537,41178.3435946939,13099.275399435,44505.0656907921
"8","ROW","android","detractor","passive",2040,95.5144691358397,47.8433019397843,10.3888084638804,2.21668360860008,9.90121450296006,58.2742587219064,15.0528698898562,6.49787338929854,20.326532568253,33069.262745098,16387.012745098,3359.75980392157,1117.69607843137,3639.07352941176,17820.4362745098,4456.18382352941,1203.56617647059,4653.88970588235,376466.081862745,182114.446568627,40428.2887254902,13968.5696078431,36058.1617647059,168943.424019608,38634.912745098,11376.5514705882,42527.8681372549,338.677051159564,177.74132312534,53.0116135013684,13.8374774684159,42.8386158786054,147.483387046894,58.7918225064515,21.4815135471564,72.914832852083,49722.0658409374,25886.5301488148,6900.80053719112,1972.17119712869,6305.44500091967,20622.3323616935,8397.03262313481,2302.17750741722,9263.37793147913,359047.45187158,176858.992973088,42418.2113685176,14488.5625250483,38148.8461706426,120329.923516848,36959.8965578594,12324.3781986207,42491.0854931622
"9","ROW","android","detractor","promoter",2723,89.8043329253036,47.3356180270087,10.4607001962348,2.60121080151465,9.90142432810475,48.8591453844159,11.9801415129313,5.69476746132521,15.6310988774096,32711.4436283511,16625.9092912229,3407.52111641572,1147.02533969886,3572.81307381564,16163.9019463827,3816.59933896438,1296.54241645244,3873.82298934998,382782.901579141,185041.402497246,41015.971722365,13766.5769372016,35883.704002938,163725.903415351,35804.9199412412,10413.6055820786,39513.8185824458,417.274743132054,217.923124057348,57.2029212104908,19.5061260443019,52.5806604804846,144.275497088023,56.4467763892999,21.4617854028434,72.6829014436691,56429.480676527,28754.28258246,7197.73912803898,2560.7449424472,7054.76707246074,19302.5792611771,7078.62165517136,3017.57362724267,8471.55091630277,357119.022460934,173793.013420638,42414.9625854944,14366.4405850833,37881.6262967405,123256.293387248,38799.9431138307,11927.8564450058,43352.6486817233
"10","ROW","android","detractor","severe detractor",1386,88.2681593534856,43.2839876571848,10.4304733628126,2.3379819158702,8.12436178094402,66.9070734675417,19.5026406073855,7.85491217076915,25.4932786897447,32677.3795093795,16052.3145743146,3365.04329004329,1113.2683982684,3450.82251082251,19639.5670995671,5276.9733044733,1192.76695526696,5367.04545454545,385363.913419913,183883.841269841,40983.2467532468,13952.0815295815,35880.0779220779,188081.932178932,46488.1154401154,13368.2532467532,49616.2626262626,283.983324538177,138.423047522202,47.4733905296764,15.1102959388057,33.2007450350331,161.857160528286,81.565287394644,28.0751578472502,83.038500785082,42464.8146434784,21064.9718802769,6301.46356545181,2037.41144861387,5520.58767488172,23024.6127660262,11307.2932863824,2787.35860417173,10806.8726503538,357969.435813649,172690.512256861,42841.6403214973,14721.7257787441,38461.5436608458,133832.875996936,44887.0758855957,14137.7938625927,49240.415330698
